Model,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,AUC
Logistic Regression,0.75,0.7121212121212122,0.9615384615384616,0.7575757575757576,0.847457627118644,0.7777777777777779
Random Forest,0.8888888888888888,0.48484848484848486,0.9142857142857143,0.9696969696969697,0.9411764705882353,0.5303030303030303
Gradient Boosting,0.8611111111111112,0.4696969696969697,0.9117647058823529,0.9393939393939394,0.9253731343283582,0.595959595959596
